,magnitude,min_diameter,max_diameter,speed,miss_distance,target
(2003 MS2),21.21,152.249185036,340.4395272595,10.5222878814,7299471.269913047,1.0
(2006 KQ1),22.03,104.3650238292,233.3672877555,8.0651858514,41865069.446606,0.0
(2010 JK33),20.9,175.6123184804,392.6810818086,11.0447156979,10705770.772865206,1.0
(2014 MY26),22.0,105.8168859331,236.6137501138,19.6576411099,38848573.14442939,0.0
(2016 BC14),20.98,169.2602494573,378.4774236751,6.7204078718,26379141.44398034,1.0
(2016 NB1),23.9,44.1118199997,98.6370281305,8.4856494198,6607006.390948033,0.0
(2016 VO1),23.08,64.3509520622,143.893103228,17.2150066442,41099033.57021704,0.0
(2017 AH13),21.41,138.852907036,310.4845390059,19.5307455328,30468181.495937917,0.0
(2020 BE),21.95,108.2816778403,242.1251923687,27.2216302584,29704395.30807902,0.0
(2020 HO10),21.57,128.9896833431,288.4297003513,9.5079997429,14695517.161831576,0.0
(2020 KY5),21.5,133.2155666981,297.8790627982,10.5216436357,34764367.54732585,0.0
(2020 MY),20.61,200.7035141135,448.7867008808,16.8085297941,21071039.975769304,0.0
(2020 MO3),24.6,31.9561886721,71.4562101727,4.2066922996,10516608.998290738,0.0
(2020 NB),26.18,15.4367182177,34.5175512843,8.3495650961,110857.6720117682,0.0
(2020 NH),25.1,25.3837029364,56.7596852866,13.742335227,4958528.731556772,0.0
(2020 NC1),22.82,72.536229467,162.1959399198,5.6673692737,10861592.65553207,0.0
(2020 ON6),24.0,42.1264610556,94.1976305719,7.3264478797,10316792.480503261,0.0
(2020 DP16),25.58,20.3495578117,45.502994579,16.7133937691,37721182.1784729,0.0
(2023 XH7),27.6,8.0270316728,17.948988478,21.8767638756,6046995.429786736,0.0
288592 (2004 JW20),20.87,178.0553291829,398.1438198091,13.326310708,43101536.5307788,0.0
467963 (2012 JT17),18.74,474.8483973957,1061.7932955836,18.572828585,31884477.480215814,0.0
(2006 MH10),22.06,102.9330820202,230.1653685307,16.3060833573,42994348.30780005,0.0
(2008 KD6),19.6,319.5618867213,714.5621017269,23.2717268695,34348082.352890566,0.0
(2010 FV9),25.4,22.1082810359,49.435619262,8.5589299536,42631309.87224607,0.0
(2015 XW261),21.39,140.1376971662,313.3574170739,21.8414149303,13349703.420864703,0.0
(2016 DP2),25.9,17.561231848,39.2681081809,5.5916058801,24747607.406379115,0.0
(2016 QA11),24.7,30.5179232594,68.2401509401,3.7587856504,45269633.61338943,0.0
(2017 BY),25.5,21.113244479,47.2106498806,7.4689741362,42201532.34707267,0.0
(2017 EK),24.24,37.7185489265,84.3412394123,21.7379031069,39223085.886651136,0.0
(2019 WO4),23.66,49.2668705504,110.1640715893,5.4532957816,33886002.331900105,0.0
(2020 JS15),21.2,152.9519353442,342.0109247198,4.1499368162,42941006.93849939,0.0
(2020 MO),24.9,27.8326768072,62.2357573367,9.5684235549,2221010.3997202385,0.0
(2020 MT2),24.0,42.1264610556,94.1976305719,8.4391638881,3832320.591049298,0.0
(2020 MU3),24.5,33.4622374455,74.8238376074,9.310973303,5489109.298916891,0.0
(2020 VH2),28.2,6.0891262211,13.6157001539,4.368311835,43608710.14761074,0.0
(2020 VP5),23.8,46.1907460282,103.2856480504,9.469250849,32516506.388967898,0.0
(2020 JL31),21.31,145.3968429372,325.1172245215,5.9012450635,36681353.23928209,0.0
(2022 DV1),24.94,27.3246732042,61.0998267476,13.4630727235,43399112.23429436,0.0
620062 (2008 KD6),19.68,308.003021266,688.7156928262,23.2717156719,34348094.62305696,0.0
(2023 OG11),25.17,24.5784774633,54.9591463913,18.9374715199,45096349.35046599,0.0
(2024 AA1),23.35,56.827032339,127.0691072695,8.1911432563,37837557.54910395,0.0
169675 (2002 JM97),16.67,1231.8419126591,2754.482254239,6.8107995404,26391709.682459857,0.0
357622 (2005 EY95),20.32,229.3796979965,512.9085973785,10.8436008256,37787124.432332136,1.0
(2007 UN12),28.7,4.8367648822,10.8153350678,2.9351277391,4140800.847210912,0.0
(2013 FZ7),22.9,69.9125232246,156.3291544087,14.1023855717,39687996.923191234,0.0
(2017 OV68),21.61,126.6353562929,283.1652650258,3.8762331238,36835641.14664717,0.0
(2017 VE15),24.8,29.1443904535,65.1688382168,6.2534919328,43862763.31065761,0.0
(2017 YD8),21.87,112.3453176718,251.2117672679,12.7417292183,41049255.11330014,1.0
(2018 NP1),20.94,172.4070324371,385.5138443284,14.0748720817,27332246.269336328,0.0
(2018 XB4),24.0,42.1264610556,94.1976305719,13.6399943315,22595997.83930522,0.0
(2020 LS),23.3,58.1507039646,130.0289270043,11.5305714539,4613049.889441297,0.0
(2020 NJ),22.6,80.2703167283,179.4898847799,23.2691626549,4600900.398276647,0.0
(2020 OL2),24.88,28.0902093949,62.8116177092,4.4418303534,13778552.475561038,0.0
(2020 OW4),23.8,46.1907460282,103.2856480504,6.9437152617,14201747.558426486,0.0
(2021 AC),23.68,48.8151891662,109.1540813101,16.539713313,41001619.61305686,0.0
(2021 NO1),25.08,25.6185754479,57.2848761883,16.9528628499,38469742.437698506,0.0
585428 (2018 NP1),20.97,170.0415192713,380.2243960879,14.0748733293,27332246.92002697,0.0
(2020 DP14),30.31,2.3043846658,5.152760759,3.7435338255,28140824.197647866,0.0
420591 (2012 HF31),19.51,333.0849242994,744.8005330139,20.7826706321,32669504.56241148,0.0
456946 (2008 AF32),21.26,148.7835704774,332.6901775226,14.8540091778,23809832.871139806,0.0
484462 (2008 CM20),21.46,135.6922289935,303.4170480479,10.7506352022,33424093.60057335,0.0
(2003 GJ21),22.9,69.9125232246,156.3291544087,14.3368550373,36852796.819221854,0.0
(2009 EF3),21.57,128.9896833431,288.4297003513,20.9271368238,43010426.2321688,0.0
(2010 EC135),20.3,231.5021222103,517.6544821978,6.3892184982,17509572.79452175,0.0
(2010 LU108),19.95,271.9912773482,608.1909854376,21.3955234495,21906711.50976173,0.0
(2012 BS23),21.5,133.2155666981,297.8790627982,13.2570903264,6423999.9918220155,1.0
(2014 AN51),20.46,215.0576900016,480.8836139277,13.1941081469,20856135.39210442,0.0
(2016 AF193),21.9,110.8038821264,247.7650126055,13.509962774,36135628.26553054,0.0
(2016 TP18),24.78,29.4140601781,65.7718380526,23.3958489123,8071062.77089015,0.0
(2020 KD7),20.09,255.0086878569,570.2167609011,27.8186404785,23730923.33811705,0.0
(2020 ME1),26.0,16.7708462163,37.5007521798,10.9240415826,471662.4353210418,0.0
(2020 OE1),22.0,105.8168859331,236.6137501138,15.4727467122,13083682.839190384,0.0
